,Location,Date Scraped,Vistor Visa Times,Student & Vistor Exchange Visa Times,All Other Non-Immigrant Visa Times
8866,Phnom Penh,2022-04-09,28,28,28
8867,Prague,2022-04-09,182,1,30
8868,Praia,2022-04-09,505,1,1
8869,Pristina,2022-04-09,215,3,215
8870,Port Au Prince,2022-04-09,365,1,7
8871,Port Moresby,2022-04-09,1,1,1
8872,Port of Spain,2022-04-09,109,18,14
8873,Rangoon,2022-04-09,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
8874,Reykjavik,2022-04-09,60,60,60
8875,Riga,2022-04-09,3,4,1
8876,Rio de Janeiro,2022-04-09,220,1,1
8877,Riyadh,2022-04-09,9,7,9
8878,Sanaa,2022-04-09,Temporarily Closed,Temporarily Closed,Temporarily Closed
8879,San Jose,2022-04-09,520,37,72
8880,San Salvador,2022-04-09,280,2,2
8881,Santiago,2022-04-09,698,129,725
8882,Santo Domingo,2022-04-09,750,49,7
8883,Sarajevo,2022-04-09,16,16,7
8884,Seoul,2022-04-09,71,45,29
8885,Singapore,2022-04-09,2,1,7
8886,Skopje,2022-04-09,161,161,161
8887,Sofia,2022-04-09,60,7,7
8888,Stockholm,2022-04-09,394,1,31
8889,Suva,2022-04-09,3,2,3
8890,Sydney,2022-04-09,300,62,181
8891,Taipei,2022-04-09,4,4,4
8892,Tallinn,2022-04-09,7,5,5
8893,Tashkent,2022-04-09,90,20,20
8894,Tbilisi,2022-04-09,660,58,9
8895,Tegucigalpa,2022-04-09,803,2,15
8896,Tel Aviv,2022-04-09,274,1,1
8897,Tirana,2022-04-09,285,8,8
8898,Tokyo,2022-04-09,14,1,3
8899,Tunis,2022-04-09,90,14,7
8900,Ulaanbaatar,2022-04-09,251,17,21
8901,Vancouver,2022-04-09,391,22,347
8902,Vienna,2022-04-09,170,32,67
8903,Vientiane,2022-04-09,78,78,78
8904,Vilnius,2022-04-09,23,28,28
8905,Warsaw,2022-04-09,156,92,92
8906,Yaounde,2022-04-09,42,42,42
8907,Yerevan,2022-04-09,672,525,126
8908,Zagreb,2022-04-09,2,2,2
8909,Abidjan,2022-04-08,344,191,113
8910,Abu Dhabi,2022-04-08,240,90,20
8911,Accra,2022-04-08,983,73,60
8912,Addis Ababa,2022-04-08,561,185,185
8913,Algiers,2022-04-08,80,50,8
8914,Almaty,2022-04-08,229,71,21
8915,Amman,2022-04-08,721,120,721
8916,Amsterdam,2022-04-08,240,79,240
8917,Ankara,2022-04-08,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
8918,Antananarivo,2022-04-08,21,21,21
8919,Ashgabat,2022-04-08,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
8920,Asmara,2022-04-08,7,7,7
8921,Asuncion,2022-04-08,220,14,14
8922,Athens,2022-04-08,637,14,30
8923,Auckland,2022-04-08,136,4,136
8924,Baghdad,2022-04-08,Closed,Closed,Closed
8925,Bangkok,2022-04-08,120,52,7
8926,Banjul,2022-04-08,120,21,21
8927,Beirut,2022-04-08,246,10,15
8928,Belgrade,2022-04-08,180,12,14
8929,Belmopan,2022-04-08,52,21,16
8930,Bern,2022-04-08,78,15,31
8931,Beirut,2022-04-08,246,10,15
8932,Bishkek,2022-04-08,92,10,92
8933,Bogota,2022-04-08,699,25,24
8934,Bratislava,2022-04-08,8,8,28
8935,Brazzaville,2022-04-08,22,22,22
8936,Bridgetown,2022-04-08,500,1,3
8937,Brussels,2022-04-08,150,7,14
8938,Bucharest,2022-04-08,182,3,7
8939,Budapest,2022-04-08,225,35,35
8940,Buenos Aires,2022-04-08,494,4,7
8941,Bujumbura,2022-04-08,3,3,3
8942,Cairo,2022-04-08,420,5,5
8943,Calgary,2022-04-08,217,42,127
8944,Cape Town,2022-04-08,92,7,56
8945,Caracas,2022-04-08,Temporarily Closed,Temporarily Closed,Temporarily Closed
8946,Casablanca,2022-04-08,126,3,126
8947,Chisinau,2022-04-08,254,7,14
8948,Ciudad Juarez,2022-04-08,652,20,20
8949,Colombo,2022-04-08,100,4,100
8950,Cotonou,2022-04-08,80,80,80
8951,Dakar,2022-04-08,225,10,225
8952,Damascus,2022-04-08,Temporarily Closed,Temporarily Closed,Temporarily Closed
8953,Dar es Salaam,2022-04-08,50,23,23
8954,Dhaka,2022-04-08,529,637,10
8955,Djibouti,2022-04-08,200,90,90
8956,Doha,2022-04-08,120,2,3
8957,Dubai,2022-04-08,104,90,95
8958,Dublin,2022-04-08,149,15,4
8959,Frankfurt,2022-04-08,88,4,4
8960,Freetown,2022-04-08,72,36,72
8961,Georgetown,2022-04-08,649,1,1
8962,Guangzhou,2022-04-08,5,4,5
8963,Guatemala City,2022-04-08,938,1,1
8964,Guayaquil,2022-04-08,624,22,10
8965,Hamilton,2022-04-08,120,30,90
8966,Havana,2022-04-08,Temporarily Closed,Temporarily Closed,Temporarily Closed
8967,Helsinki,2022-04-08,138,25,44
8968,Ho Chi Minh City,2022-04-08,321,75,92
8969,Hong Kong,2022-04-08,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
8970,Harare,2022-04-08,107,107,107
8971,Islamabad,2022-04-08,435,5,3
8972,Jakarta,2022-04-08,43,2,30
8973,Jerusalem,2022-04-08,130,2,2
8974,Johannesburg,2022-04-08,60,14,21
8975,Kabul,2022-04-08,Closed,Closed,Closed
8976,Kampala,2022-04-08,289,7,7
8977,Kathmandu,2022-04-08,71,156,57
8978,Khartoum,2022-04-08,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
8979,Kigali,2022-04-08,100,20,15
8980,Kingston,2022-04-08,704,1,3
8981,Kinshasa,2022-04-08,543,11,543
8982,Kuala Lumpur,2022-04-08,16,17,22
8983,Kuwait City,2022-04-08,4,4,4
8984,Kyiv,2022-04-08,Closed,Closed,Closed
8985,Lagos,2022-04-08,760,30,30
8986,La Paz,2022-04-08,40,1,1
8987,Libreville,2022-04-08,74,74,74
8988,Lilongwe,2022-04-08,30,30,30
8989,Lima,2022-04-08,380,14,14
8990,Ljubljana,2022-04-08,90,14,21
8991,Lome,2022-04-08,80,80,80
8992,London,2022-04-08,135,3,45
8993,Luanda,2022-04-08,20,1,1
8994,Lusaka,2022-04-08,9,7,9
8995,Madrid,2022-04-08,350,176,189
8996,Managua,2022-04-08,148,8,22
8997,Manama,2022-04-08,49,9,9
8998,Manila,2022-04-08,339,48,24
8999,Monrovia,2022-04-08,365,30,30
9000,Montevideo,2022-04-08,319,24,87
9001,Montreal,2022-04-08,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9002,Moscow,2022-04-08,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9003,Mumbai,2022-04-08,Same Day,2,3
9004,Muscat,2022-04-08,7,7,7
9005,Naha,2022-04-08,2,2,2
9006,Nairobi,2022-04-08,557,186,1
9007,Naples,2022-04-08,123,15,7
9008,Nassau,2022-04-08,89,3,89
9009,New Delhi,2022-04-08,59,2,89
9010,Niamey,2022-04-08,90,90,90
9011,Nicosia,2022-04-08,130,7,130
9012,Oslo,2022-04-08,177,73,73
9013,Ouagadougou,2022-04-08,90,90,90
9014,Panama City,2022-04-08,482,12,12
9015,Paramaribo,2022-04-08,60,2,60
9016,Paris,2022-04-08,217,13,12
9017,Phnom Penh,2022-04-08,28,28,28
9018,Prague,2022-04-08,182,1,30
9019,Praia,2022-04-08,505,1,1
9020,Pristina,2022-04-08,215,3,215
9021,Port Au Prince,2022-04-08,365,1,7
9022,Port Moresby,2022-04-08,1,1,1
9023,Port of Spain,2022-04-08,109,18,14
9024,Rangoon,2022-04-08,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9025,Reykjavik,2022-04-08,60,60,60
9026,Riga,2022-04-08,3,4,1
9027,Rio de Janeiro,2022-04-08,220,1,1
9028,Riyadh,2022-04-08,9,7,9
9029,Sanaa,2022-04-08,Temporarily Closed,Temporarily Closed,Temporarily Closed
9030,San Jose,2022-04-08,513,44,79
9031,San Salvador,2022-04-08,280,2,2
9032,Santiago,2022-04-08,698,129,725
9033,Santo Domingo,2022-04-08,750,49,7
9034,Sarajevo,2022-04-08,16,16,7
9035,Seoul,2022-04-08,71,45,29
9036,Singapore,2022-04-08,2,1,7
9037,Skopje,2022-04-08,161,161,161
9038,Sofia,2022-04-08,60,7,7
9039,Stockholm,2022-04-08,394,1,31
9040,Suva,2022-04-08,3,2,3
9041,Sydney,2022-04-08,300,62,181
9042,Taipei,2022-04-08,4,4,4
9043,Tallinn,2022-04-08,7,5,5
9044,Tashkent,2022-04-08,90,20,20
9045,Tbilisi,2022-04-08,660,58,9
9046,Tegucigalpa,2022-04-08,803,2,15
9047,Tel Aviv,2022-04-08,274,1,1
9048,Tirana,2022-04-08,285,8,8
9049,Tokyo,2022-04-08,14,1,3
9050,Tunis,2022-04-08,90,14,7
9051,Ulaanbaatar,2022-04-08,251,17,21
9052,Vancouver,2022-04-08,391,22,347
9053,Vienna,2022-04-08,170,32,67
9054,Vientiane,2022-04-08,78,78,78
9055,Vilnius,2022-04-08,23,28,28
9056,Warsaw,2022-04-08,156,92,92
9057,Yaounde,2022-04-08,42,42,42
9058,Yerevan,2022-04-08,666,473,32
9059,Zagreb,2022-04-08,2,2,2
9060,Abidjan,2022-04-07,344,191,113
9061,Abu Dhabi,2022-04-07,240,90,20
9062,Accra,2022-04-07,983,73,60
9063,Addis Ababa,2022-04-07,561,185,185
9064,Algiers,2022-04-07,80,50,8
9065,Almaty,2022-04-07,229,71,21
9066,Amman,2022-04-07,721,120,721
9067,Amsterdam,2022-04-07,240,79,240
9068,Ankara,2022-04-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9069,Antananarivo,2022-04-07,21,21,21
9070,Ashgabat,2022-04-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9071,Asmara,2022-04-07,7,7,7
9072,Asuncion,2022-04-07,220,14,14
9073,Athens,2022-04-07,637,14,30
9074,Auckland,2022-04-07,136,4,136
9075,Baghdad,2022-04-07,Closed,Closed,Closed
9076,Bangkok,2022-04-07,120,52,7
9077,Banjul,2022-04-07,120,21,21
9078,Beirut,2022-04-07,246,10,15
9079,Belgrade,2022-04-07,180,12,14
9080,Belmopan,2022-04-07,52,21,16
9081,Bern,2022-04-07,78,15,31
9082,Beirut,2022-04-07,246,10,15
9083,Bishkek,2022-04-07,92,10,92
9084,Bogota,2022-04-07,699,25,24
9085,Bratislava,2022-04-07,8,8,28
9086,Brazzaville,2022-04-07,22,22,22
9087,Bridgetown,2022-04-07,500,1,3
9088,Brussels,2022-04-07,150,7,14
9089,Bucharest,2022-04-07,182,3,7
9090,Budapest,2022-04-07,225,35,35
9091,Buenos Aires,2022-04-07,494,4,7
9092,Bujumbura,2022-04-07,3,3,3
9093,Cairo,2022-04-07,420,5,5
9094,Calgary,2022-04-07,217,42,127
9095,Cape Town,2022-04-07,92,7,56
9096,Caracas,2022-04-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
9097,Casablanca,2022-04-07,126,3,126
9098,Chisinau,2022-04-07,254,7,14
9099,Ciudad Juarez,2022-04-07,652,20,20
9100,Colombo,2022-04-07,100,4,100
9101,Cotonou,2022-04-07,80,80,80
9102,Dakar,2022-04-07,225,10,225
9103,Damascus,2022-04-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
9104,Dar es Salaam,2022-04-07,50,23,23
9105,Dhaka,2022-04-07,529,637,10
9106,Djibouti,2022-04-07,200,90,90
9107,Doha,2022-04-07,120,2,3
9108,Dubai,2022-04-07,104,90,95
9109,Dublin,2022-04-07,149,15,4
9110,Frankfurt,2022-04-07,88,4,4
9111,Freetown,2022-04-07,72,36,72
9112,Georgetown,2022-04-07,649,1,1
9113,Guangzhou,2022-04-07,5,4,5
9114,Guatemala City,2022-04-07,938,1,1
9115,Guayaquil,2022-04-07,624,22,10
9116,Hamilton,2022-04-07,120,30,90
9117,Havana,2022-04-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
9118,Helsinki,2022-04-07,138,25,44
9119,Ho Chi Minh City,2022-04-07,321,75,92
9120,Hong Kong,2022-04-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9121,Harare,2022-04-07,107,107,107
9122,Islamabad,2022-04-07,435,5,3
9123,Jakarta,2022-04-07,43,2,30
9124,Jerusalem,2022-04-07,130,2,2
9125,Johannesburg,2022-04-07,60,14,21
9126,Kabul,2022-04-07,Closed,Closed,Closed
9127,Kampala,2022-04-07,289,7,7
9128,Kathmandu,2022-04-07,71,156,57
9129,Khartoum,2022-04-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9130,Kigali,2022-04-07,100,20,15
9131,Kingston,2022-04-07,704,1,3
9132,Kinshasa,2022-04-07,448,14,448
9133,Kuala Lumpur,2022-04-07,16,17,22
9134,Kuwait City,2022-04-07,4,4,4
9135,Kyiv,2022-04-07,Closed,Closed,Closed
9136,Lagos,2022-04-07,760,30,30
9137,La Paz,2022-04-07,40,1,1
9138,Libreville,2022-04-07,74,74,74
9139,Lilongwe,2022-04-07,30,30,30
9140,Lima,2022-04-07,380,14,14
9141,Ljubljana,2022-04-07,90,14,21
9142,Lome,2022-04-07,80,80,80
9143,London,2022-04-07,135,3,45
9144,Luanda,2022-04-07,20,1,1
9145,Lusaka,2022-04-07,9,7,9
9146,Madrid,2022-04-07,350,176,189
9147,Managua,2022-04-07,148,8,22
9148,Manama,2022-04-07,49,9,9
9149,Manila,2022-04-07,339,48,24
9150,Monrovia,2022-04-07,365,30,30
9151,Montevideo,2022-04-07,319,24,87
9152,Montreal,2022-04-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9153,Moscow,2022-04-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9154,Mumbai,2022-04-07,Same Day,2,3
9155,Muscat,2022-04-07,7,7,7
9156,Naha,2022-04-07,2,2,2
9157,Nairobi,2022-04-07,557,186,1
9158,Naples,2022-04-07,123,15,7
9159,Nassau,2022-04-07,89,3,89
9160,New Delhi,2022-04-07,59,2,89
9161,Niamey,2022-04-07,90,90,90
9162,Nicosia,2022-04-07,130,7,130
9163,Oslo,2022-04-07,177,73,73
9164,Ouagadougou,2022-04-07,90,90,90
9165,Panama City,2022-04-07,482,12,12
9166,Paramaribo,2022-04-07,60,2,60
9167,Paris,2022-04-07,217,13,12
9168,Phnom Penh,2022-04-07,28,28,28
9169,Prague,2022-04-07,182,1,30
9170,Praia,2022-04-07,505,1,1
9171,Pristina,2022-04-07,215,3,215
9172,Port Au Prince,2022-04-07,365,1,7
9173,Port Moresby,2022-04-07,1,1,1
9174,Port of Spain,2022-04-07,109,18,14
9175,Rangoon,2022-04-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9176,Reykjavik,2022-04-07,60,60,60
9177,Riga,2022-04-07,3,4,1
9178,Rio de Janeiro,2022-04-07,220,1,1
9179,Riyadh,2022-04-07,9,7,9
9180,Sanaa,2022-04-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
9181,San Jose,2022-04-07,513,44,79
9182,San Salvador,2022-04-07,280,2,2
9183,Santiago,2022-04-07,698,129,725
9184,Santo Domingo,2022-04-07,750,49,7
9185,Sarajevo,2022-04-07,16,16,7
9186,Seoul,2022-04-07,71,45,29
9187,Singapore,2022-04-07,2,1,7
9188,Skopje,2022-04-07,161,161,161
9189,Sofia,2022-04-07,60,7,7
9190,Stockholm,2022-04-07,394,1,31
9191,Suva,2022-04-07,3,2,3
9192,Sydney,2022-04-07,300,62,181
9193,Taipei,2022-04-07,4,4,4
9194,Tallinn,2022-04-07,28,7,7
9195,Tashkent,2022-04-07,90,20,20
9196,Tbilisi,2022-04-07,660,58,9
9197,Tegucigalpa,2022-04-07,803,2,15
9198,Tel Aviv,2022-04-07,274,1,1
9199,Tirana,2022-04-07,285,8,8
9200,Tokyo,2022-04-07,14,1,3
9201,Tunis,2022-04-07,90,14,7
9202,Ulaanbaatar,2022-04-07,251,17,21
9203,Vancouver,2022-04-07,391,22,347
9204,Vienna,2022-04-07,170,32,67
9205,Vientiane,2022-04-07,78,78,78
9206,Vilnius,2022-04-07,23,28,28
9207,Warsaw,2022-04-07,156,92,92
9208,Yaounde,2022-04-07,42,42,42
9209,Yerevan,2022-04-07,666,473,32
9210,Zagreb,2022-04-07,2,2,2
9211,Abidjan,2022-04-06,344,191,113
9212,Abu Dhabi,2022-04-06,240,90,20
9213,Accra,2022-04-06,983,73,60
9214,Addis Ababa,2022-04-06,561,185,185
9215,Algiers,2022-04-06,80,50,8
9216,Almaty,2022-04-06,229,71,21
9217,Amman,2022-04-06,721,120,721
9218,Amsterdam,2022-04-06,240,79,240
9219,Ankara,2022-04-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9220,Antananarivo,2022-04-06,21,21,21
9221,Ashgabat,2022-04-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9222,Asmara,2022-04-06,7,7,7
9223,Asuncion,2022-04-06,220,14,14
9224,Athens,2022-04-06,637,14,30
9225,Auckland,2022-04-06,136,4,136
9226,Baghdad,2022-04-06,Closed,Closed,Closed
9227,Bangkok,2022-04-06,120,52,7
9228,Banjul,2022-04-06,120,21,21
9229,Beirut,2022-04-06,246,10,15
9230,Belgrade,2022-04-06,180,12,14
9231,Belmopan,2022-04-06,52,21,16
9232,Bern,2022-04-06,78,15,31
9233,Beirut,2022-04-06,246,10,15
9234,Bishkek,2022-04-06,92,10,92
9235,Bogota,2022-04-06,699,25,24
9236,Bratislava,2022-04-06,8,8,28
9237,Brazzaville,2022-04-06,22,22,22
9238,Bridgetown,2022-04-06,500,1,3
9239,Brussels,2022-04-06,180,7,21
9240,Bucharest,2022-04-06,182,3,7
9241,Budapest,2022-04-06,225,35,35
9242,Buenos Aires,2022-04-06,494,4,7
9243,Bujumbura,2022-04-06,3,3,3
9244,Cairo,2022-04-06,420,5,5
9245,Calgary,2022-04-06,217,42,127
9246,Cape Town,2022-04-06,92,7,56
9247,Caracas,2022-04-06,Temporarily Closed,Temporarily Closed,Temporarily Closed
9248,Casablanca,2022-04-06,126,3,126
9249,Chisinau,2022-04-06,254,7,14
9250,Ciudad Juarez,2022-04-06,652,2,7
9251,Colombo,2022-04-06,100,4,100
9252,Cotonou,2022-04-06,80,80,80
9253,Dakar,2022-04-06,225,10,225
9254,Damascus,2022-04-06,Temporarily Closed,Temporarily Closed,Temporarily Closed
9255,Dar es Salaam,2022-04-06,50,23,23
9256,Dhaka,2022-04-06,529,637,10
9257,Djibouti,2022-04-06,200,90,90
9258,Doha,2022-04-06,120,2,3
9259,Dubai,2022-04-06,104,90,95
9260,Dublin,2022-04-06,149,15,4
9261,Frankfurt,2022-04-06,88,4,4
9262,Freetown,2022-04-06,72,36,72
9263,Georgetown,2022-04-06,649,1,1
9264,Guangzhou,2022-04-06,7,3,3
9265,Guatemala City,2022-04-06,938,1,1
9266,Guayaquil,2022-04-06,624,22,10
9267,Hamilton,2022-04-06,120,30,90
9268,Havana,2022-04-06,Temporarily Closed,Temporarily Closed,Temporarily Closed
9269,Helsinki,2022-04-06,138,25,44
9270,Ho Chi Minh City,2022-04-06,305,165,92
9271,Hong Kong,2022-04-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9272,Harare,2022-04-06,107,107,107
9273,Islamabad,2022-04-06,435,5,3
9274,Jakarta,2022-04-06,43,2,30
9275,Jerusalem,2022-04-06,130,2,2
9276,Johannesburg,2022-04-06,60,14,21
9277,Kabul,2022-04-06,Closed,Closed,Closed
9278,Kampala,2022-04-06,289,7,7
9279,Kathmandu,2022-04-06,71,156,57
9280,Khartoum,2022-04-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9281,Kigali,2022-04-06,100,20,15
9282,Kingston,2022-04-06,704,1,3
9283,Kinshasa,2022-04-06,448,14,448
9284,Kuala Lumpur,2022-04-06,16,17,22
9285,Kuwait City,2022-04-06,4,4,4
9286,Kyiv,2022-04-06,Closed,Closed,Closed
9287,Lagos,2022-04-06,760,30,30
9288,La Paz,2022-04-06,40,1,1
9289,Libreville,2022-04-06,74,74,74
9290,Lilongwe,2022-04-06,30,30,30
9291,Lima,2022-04-06,380,14,14
9292,Ljubljana,2022-04-06,90,14,21
9293,Lome,2022-04-06,80,80,80
9294,London,2022-04-06,135,3,45
9295,Luanda,2022-04-06,20,1,1
9296,Lusaka,2022-04-06,9,7,9
9297,Madrid,2022-04-06,350,176,189
9298,Managua,2022-04-06,148,8,22
9299,Manama,2022-04-06,49,9,9
9300,Manila,2022-04-06,339,48,24
9301,Monrovia,2022-04-06,365,30,30
9302,Montevideo,2022-04-06,319,24,87
9303,Montreal,2022-04-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9304,Moscow,2022-04-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9305,Mumbai,2022-04-06,Same Day,2,3
9306,Muscat,2022-04-06,11,11,11
9307,Naha,2022-04-06,2,2,2
9308,Nairobi,2022-04-06,557,186,1
9309,Naples,2022-04-06,123,15,7
9310,Nassau,2022-04-06,87,3,87
9311,New Delhi,2022-04-06,59,2,89
9312,Niamey,2022-04-06,90,90,90
9313,Nicosia,2022-04-06,130,7,130
9314,Oslo,2022-04-06,177,73,73
9315,Ouagadougou,2022-04-06,90,90,90
9316,Panama City,2022-04-06,482,12,12
9317,Paramaribo,2022-04-06,60,2,60
9318,Paris,2022-04-06,217,13,12
9319,Phnom Penh,2022-04-06,28,28,28
9320,Prague,2022-04-06,182,1,30
9321,Praia,2022-04-06,505,1,1
9322,Pristina,2022-04-06,215,3,215
9323,Port Au Prince,2022-04-06,365,1,7
9324,Port Moresby,2022-04-06,1,1,1
9325,Port of Spain,2022-04-06,109,18,14
9326,Rangoon,2022-04-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9327,Reykjavik,2022-04-06,60,60,60
9328,Riga,2022-04-06,3,4,1
9329,Rio de Janeiro,2022-04-06,220,1,1
9330,Riyadh,2022-04-06,9,7,9
9331,Sanaa,2022-04-06,Temporarily Closed,Temporarily Closed,Temporarily Closed
9332,San Jose,2022-04-06,513,44,79
9333,San Salvador,2022-04-06,280,2,2
9334,Santiago,2022-04-06,698,129,725
9335,Santo Domingo,2022-04-06,750,49,7
9336,Sarajevo,2022-04-06,16,16,7
9337,Seoul,2022-04-06,71,45,29
9338,Singapore,2022-04-06,2,1,7
9339,Skopje,2022-04-06,161,161,161
9340,Sofia,2022-04-06,60,7,7
9341,Stockholm,2022-04-06,394,1,31
9342,Suva,2022-04-06,3,2,3
9343,Sydney,2022-04-06,300,62,181
9344,Taipei,2022-04-06,4,4,4
9345,Tallinn,2022-04-06,28,7,7
9346,Tashkent,2022-04-06,90,20,20
9347,Tbilisi,2022-04-06,660,58,9
9348,Tegucigalpa,2022-04-06,833,3,1
9349,Tel Aviv,2022-04-06,274,1,1
9350,Tirana,2022-04-06,285,8,8
9351,Tokyo,2022-04-06,14,1,3
9352,Tunis,2022-04-06,90,14,7
9353,Ulaanbaatar,2022-04-06,251,17,21
9354,Vancouver,2022-04-06,391,22,347
9355,Vienna,2022-04-06,170,32,67
9356,Vientiane,2022-04-06,78,78,78
9357,Vilnius,2022-04-06,23,28,28
9358,Warsaw,2022-04-06,156,92,92
9359,Yaounde,2022-04-06,42,42,42
9360,Yerevan,2022-04-06,666,473,32
9361,Zagreb,2022-04-06,2,2,2
9362,Abidjan,2022-04-05,344,191,113
9363,Abu Dhabi,2022-04-05,240,90,20
9364,Accra,2022-04-05,983,73,60
9365,Addis Ababa,2022-04-05,561,185,185
9366,Algiers,2022-04-05,80,50,8
9367,Almaty,2022-04-05,229,71,21
9368,Amman,2022-04-05,721,120,721
9369,Amsterdam,2022-04-05,240,79,240
9370,Ankara,2022-04-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9371,Antananarivo,2022-04-05,21,21,21
9372,Ashgabat,2022-04-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9373,Asmara,2022-04-05,7,7,7
9374,Asuncion,2022-04-05,220,14,14
9375,Athens,2022-04-05,637,14,30
9376,Auckland,2022-04-05,136,4,136
9377,Baghdad,2022-04-05,Closed,Closed,Closed
9378,Bangkok,2022-04-05,120,52,7
9379,Banjul,2022-04-05,120,21,21
9380,Beirut,2022-04-05,246,10,15
9381,Belgrade,2022-04-05,180,12,14
9382,Belmopan,2022-04-05,52,21,16
9383,Bern,2022-04-05,78,15,31
9384,Beirut,2022-04-05,246,10,15
9385,Bishkek,2022-04-05,92,10,92
9386,Bogota,2022-04-05,699,25,24
9387,Bratislava,2022-04-05,8,8,28
9388,Brazzaville,2022-04-05,22,22,22
9389,Bridgetown,2022-04-05,500,1,3
9390,Brussels,2022-04-05,180,7,21
9391,Bucharest,2022-04-05,182,3,7
9392,Budapest,2022-04-05,225,35,35
9393,Buenos Aires,2022-04-05,494,4,7
9394,Bujumbura,2022-04-05,3,3,3
9395,Cairo,2022-04-05,420,5,5
9396,Calgary,2022-04-05,203,48,134
9397,Cape Town,2022-04-05,92,7,56
9398,Caracas,2022-04-05,Temporarily Closed,Temporarily Closed,Temporarily Closed
9399,Casablanca,2022-04-05,126,3,126
9400,Chisinau,2022-04-05,254,7,14
9401,Ciudad Juarez,2022-04-05,652,2,7
9402,Colombo,2022-04-05,100,4,100
9403,Cotonou,2022-04-05,80,80,80
9404,Dakar,2022-04-05,225,10,225
9405,Damascus,2022-04-05,Temporarily Closed,Temporarily Closed,Temporarily Closed
9406,Dar es Salaam,2022-04-05,50,23,23
9407,Dhaka,2022-04-05,529,637,10
9408,Djibouti,2022-04-05,200,90,90
9409,Doha,2022-04-05,120,2,3
9410,Dubai,2022-04-05,104,90,95
9411,Dublin,2022-04-05,149,15,4
9412,Frankfurt,2022-04-05,88,4,4
9413,Freetown,2022-04-05,72,36,72
9414,Georgetown,2022-04-05,649,1,1
9415,Guangzhou,2022-04-05,7,3,3
9416,Guatemala City,2022-04-05,938,1,1
9417,Guayaquil,2022-04-05,624,22,10
9418,Hamilton,2022-04-05,120,30,90
9419,Havana,2022-04-05,Temporarily Closed,Temporarily Closed,Temporarily Closed
9420,Helsinki,2022-04-05,138,25,44
9421,Ho Chi Minh City,2022-04-05,305,165,92
9422,Hong Kong,2022-04-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9423,Harare,2022-04-05,107,107,107
9424,Islamabad,2022-04-05,435,5,3
9425,Jakarta,2022-04-05,43,2,30
9426,Jerusalem,2022-04-05,130,2,2
9427,Johannesburg,2022-04-05,60,14,21
9428,Kabul,2022-04-05,Closed,Closed,Closed
9429,Kampala,2022-04-05,289,7,7
9430,Kathmandu,2022-04-05,71,156,57
9431,Khartoum,2022-04-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9432,Kigali,2022-04-05,100,20,15
9433,Kingston,2022-04-05,704,1,3
9434,Kinshasa,2022-04-05,448,14,448
9435,Kuala Lumpur,2022-04-05,16,17,22
9436,Kuwait City,2022-04-05,4,4,4
9437,Kyiv,2022-04-05,Closed,Closed,Closed
9438,Lagos,2022-04-05,760,30,30
9439,La Paz,2022-04-05,40,1,1
9440,Libreville,2022-04-05,74,74,74
9441,Lilongwe,2022-04-05,30,30,30
9442,Lima,2022-04-05,380,14,14
9443,Ljubljana,2022-04-05,90,14,21
9444,Lome,2022-04-05,80,80,80
9445,London,2022-04-05,135,3,45
9446,Luanda,2022-04-05,20,1,1
9447,Lusaka,2022-04-05,9,7,9
9448,Madrid,2022-04-05,350,176,189
9449,Managua,2022-04-05,148,8,22
9450,Manama,2022-04-05,49,9,9
9451,Manila,2022-04-05,339,48,24
